Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
1961,Cincinnati Reds,NL,154,93,61,0,0.604,0.538,1st of 8,--,Lost WS (4-1),710,653,"1,117,603",26.9,26.5,37,13,F.Robinson (7.6),F.Hutchinson (93-61)
1960,Cincinnati Reds,NL,154,67,87,0,0.435,0.464,6th of 8,28,,640,692,"663,486",27.3,28.1,41,17,F.Robinson (6.2),F.Hutchinson (67-87)
1959,Cincinnati Reds,NL,154,74,80,0,0.481,0.516,5th of 8,13,,764,738,"801,298",28,28.8,39,17,D.Newcombe (6.6),M.Smith (35-45) and F.Hutchinson (39-35)
1958,Cincinnati Redlegs,NL,154,76,78,0,0.494,0.551,4th of 8,16,,695,621,"788,582",29.6,30.4,43,20,B.Purkey (4.5),B.Tebbetts (52-61) and J.Dykes (24-17)
1957,Cincinnati Redlegs,NL,154,80,74,0,0.519,0.48,4th of 8,15,,747,781,"1,070,850",28.6,29.4,39,17,F.Robinson (6.9),B.Tebbetts (80-74)
1956,Cincinnati Redlegs,NL,155,91,63,1,0.591,0.574,3rd of 8,2,,775,658,"1,125,928",27.7,29.5,39,15,F.Robinson (6.5),B.Tebbetts (91-63)
1955,Cincinnati Redlegs,NL,154,75,79,0,0.487,0.549,5th of 8,23.5,,761,684,"693,662",27.8,28.4,41,17,W.Post (5.3),B.Tebbetts (75-79)
1954,Cincinnati Redlegs,NL,154,74,80,0,0.481,0.479,5th of 8,23,,729,763,"704,167",27,28.4,38,18,T.Kluszewski (7.8),B.Tebbetts (74-80)
1953,Cincinnati Reds,NL,155,68,86,1,0.442,0.455,6th of 8,37,,714,788,"548,086",27.2,28.2,35,16,T.Kluszewski (4.9),R.Hornsby (64-82) and B.Mills (4-4)
1952,Cincinnati Reds,NL,154,69,85,0,0.448,0.468,6th of 8,27.5,,615,659,"604,197",28,28.4,36,14,K.Raffensberger (5.8),"L.Sewell (39-59), E.Brucker (3-2) and R.Hornsby (27-24)"
1951,Cincinnati Reds,NL,155,68,86,1,0.442,0.42,6th of 8,28.5,,559,667,"588,268",28.1,29.4,33,12,E.Blackwell (4.7),L.Sewell (68-86)
1950,Cincinnati Reds,NL,153,66,87,0,0.431,0.447,6th of 8,24.5,,654,734,"538,794",27.5,27.8,34,12,E.Blackwell (7.2),L.Sewell (66-87)
1949,Cincinnati Reds,NL,156,62,92,2,0.403,0.407,7th of 8,35,,627,770,"707,782",28.6,27.8,35,15,K.Raffensberger (5.3),B.Walters (61-90) and L.Sewell (1-2)
1948,Cincinnati Reds,NL,153,64,89,0,0.418,0.39,7th of 8,27,,588,751,"823,386",28.4,28.3,36,16,J.Vander Meer (5.4),J.Neun (44-56) and B.Walters (20-33)
1947,Cincinnati Reds,NL,154,73,81,0,0.474,0.453,5th of 8,21,,681,755,"899,975",28.8,27.9,38,18,E.Blackwell (8.7),J.Neun (73-81)
