Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
1948,St. Louis Cardinals,NL,155,85,69,1,0.552,0.563,2nd of 8,6.5,,742,646,"1,111,440",28.8,30.2,37,14,S.Musial (11.3),E.Dyer (85-69)
1947,St. Louis Cardinals,NL,156,89,65,2,0.578,0.594,2nd of 8,5,,780,634,"1,247,913",28,29.2,30,12,W.Kurowski (6.0),E.Dyer (89-65)
1946,St. Louis Cardinals,NL,156,98,58,0,0.628,0.62,1st of 8,--,Won WS (4-3),712,545,"1,061,807",27.2,29.1,37,15,S.Musial (9.2),E.Dyer (98-58)
1945,St. Louis Cardinals,NL,155,95,59,1,0.617,0.617,2nd of 8,3,,756,582,"594,630",28.1,28.6,37,15,W.Kurowski (4.7),B.Southworth (95-59)
1944,St. Louis Cardinals,NL,157,105,49,3,0.682,0.697,1st of 8,--,Won WS (4-2),772,490,"461,968",27.6,28.1,27,12,S.Musial (8.9),B.Southworth (105-49)
1943,St. Louis Cardinals,NL,157,105,49,3,0.682,0.658,1st of 8,--,Lost WS (4-1),679,475,"517,135",26.3,27.6,28,11,S.Musial (9.5),B.Southworth (105-49)
1942,St. Louis Cardinals,NL,156,106,48,2,0.688,0.696,1st of 8,--,Won WS (4-1),755,480,"553,552",26.4,26.9,32,13,M.Cooper (8.3),B.Southworth (106-48)
1941,St. Louis Cardinals,NL,155,97,56,2,0.634,0.599,2nd of 8,2.5,,734,589,"633,645",27.4,27.7,38,16,E.White (5.5),B.Southworth (97-56)
1940,St. Louis Cardinals,NL,156,84,69,3,0.549,0.53,3rd of 8,16,,747,699,"324,078",27,28.8,38,16,J.Mize (7.7),"R.Blades (14-24), M.González (1-5) and B.Southworth (69-40)"
1939,St. Louis Cardinals,NL,155,92,61,2,0.601,0.594,2nd of 8,4.5,,779,633,"400,245",27.1,29.4,36,15,J.Mize (7.7),R.Blades (92-61)
1938,St. Louis Cardinals,NL,156,71,80,5,0.47,0.502,6th of 8,17.5,,725,722,"291,418",26.2,28.3,35,16,J.Mize (6.5),F.Frisch (63-72) and M.González (8-8)
1937,St. Louis Cardinals,NL,157,81,73,3,0.526,0.534,4th of 8,15,,789,733,"430,811",26.6,29.4,33,17,J.Medwick (8.5),F.Frisch (81-73)
1936,St. Louis Cardinals,NL,155,87,67,1,0.565,0.501,2nd of 8,5,,795,794,"448,078",28.1,29,38,18,D.Dean (7.6),F.Frisch (87-67)
1935,St. Louis Cardinals,NL,154,96,58,0,0.623,0.626,2nd of 8,4,,829,625,"506,084",28.4,28.4,36,17,D.Dean (7.5),F.Frisch (96-58)
1934,St. Louis Cardinals,NL,154,95,58,1,0.621,0.589,1st of 8,--,Won WS (4-3),799,656,"325,056",28.5,28.2,31,14,D.Dean (9.5),F.Frisch (95-58)
1933,St. Louis Cardinals,NL,154,82,71,1,0.536,0.555,5th of 8,9.5,,687,609,"256,171",29.8,29.4,33,12,P.Martin (6.1),G.Street (46-45) and F.Frisch (36-26)
1932,St. Louis Cardinals,NL,156,72,82,2,0.468,0.478,6th of 8,18,,684,717,"279,219",29.5,27.4,42,15,D.Dean (6.4),G.Street (72-82)
1931,St. Louis Cardinals,NL,154,101,53,0,0.656,0.627,1st of 8,--,Won WS (4-3),815,614,"608,535",30,30.4,31,9,C.Hafey (4.6),G.Street (101-53)
1930,St. Louis Cardinals,NL,154,92,62,0,0.597,0.611,1st of 8,--,Lost WS (4-2),1004,784,"508,501",29.6,30.9,33,15,F.Frisch (4.7),G.Street (92-62)
1929,St. Louis Cardinals,NL,154,78,74,2,0.513,0.514,4th of 8,20,,831,806,"399,887",28.4,32.3,32,15,C.Hafey (4.4),"B.Southworth (43-45), G.Street (1-0) and B.McKechnie (34-29)"
1928,St. Louis Cardinals,NL,154,95,59,0,0.617,0.607,1st of 8,--,Lost WS (4-0),807,636,"761,574",28.9,32.1,31,11,B.Sherdel (6.1),B.McKechnie (95-59)
1927,St. Louis Cardinals,NL,153,92,61,0,0.601,0.557,2nd of 8,1.5,,754,665,"749,340",27.8,31.4,34,14,F.Frisch (9.3),B.O'Farrell (92-61)
1926,St. Louis Cardinals,NL,156,89,65,2,0.578,0.585,1st of 8,--,Won WS (4-3),817,678,"668,428",26.8,28.8,30,14,L.Bell (4.5),R.Hornsby (89-65)
1925,St. Louis Cardinals,NL,153,77,76,0,0.503,0.537,4th of 8,18,,828,764,"404,959",27,27.8,34,13,R.Hornsby (10.2),B.Rickey (13-25) and R.Hornsby (64-51)
1924,St. Louis Cardinals,NL,154,65,89,0,0.422,0.494,6th of 8,28.5,,740,750,"272,885",26.8,27.8,41,17,R.Hornsby (12.2),B.Rickey (65-89)
1923,St. Louis Cardinals,NL,154,79,74,1,0.516,0.509,5th of 8,16,,746,732,"338,551",27.5,29.8,37,13,R.Hornsby (6.7),B.Rickey (79-74)
1922,St. Louis Cardinals,NL,154,85,69,0,0.552,0.524,3rd of 8,8,,863,819,"536,998",27.9,28.9,36,16,R.Hornsby (10.0),B.Rickey (85-69)
1921,St. Louis Cardinals,NL,154,87,66,1,0.569,0.578,3rd of 8,7,,809,681,"384,773",26.9,27.3,36,13,R.Hornsby (10.8),B.Rickey (87-66)
1920,St. Louis Cardinals,NL,155,75,79,1,0.487,0.495,5th of 8,18,,675,682,"326,836",26.1,27.2,34,15,R.Hornsby (9.6),B.Rickey (75-79)
