Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
1986,Texas Rangers,AL West,162,87,75,0,0.537,0.517,2nd of 7,5,,771,743,"1,692,002",27.3,26.4,37,16,S.Fletcher (4.7),B.Valentine (87-75)
1985,Texas Rangers,AL West,161,62,99,0,0.385,0.392,7th of 7,28.5,,617,785,"1,112,497",29.1,29.2,43,20,C.Hough (6.3),D.Rader (9-23) and B.Valentine (53-76)
1984,Texas Rangers,AL West,161,69,92,0,0.429,0.461,7th of 7,14.5,,656,714,"1,102,471",28.4,29.2,35,14,B.Bell (6.1),D.Rader (69-92)
1983,Texas Rangers,AL West,163,77,85,1,0.475,0.522,3rd of 7,22,,639,609,"1,363,469",28.7,29.2,37,16,B.Bell (4.7),D.Rader (77-85)
1982,Texas Rangers,AL West,162,64,98,0,0.395,0.393,6th of 7,29,,590,749,"1,154,432",28.3,29,40,15,B.Bell (5.7),D.Zimmer (38-58) and D.Johnson (26-40)
1981,Texas Rangers,AL West,105,57,48,0,0.543,0.568,2nd of 7,5,,452,389,"850,076",29.9,29.5,37,15,B.Bell (6.2),D.Zimmer (57-48)
1980,Texas Rangers,AL West,163,76,85,2,0.472,0.502,4th of 7,20.5,,756,752,"1,198,175",30,31,41,20,B.Bell (6.5),P.Corrales (76-85)
1979,Texas Rangers,AL West,162,83,79,0,0.512,0.533,3rd of 7,5,,750,698,"1,519,671",27.8,29.3,39,16,B.Bell (6.9),P.Corrales (83-79)
1978,Texas Rangers,AL West,162,87,75,0,0.537,0.541,2nd of 7,5,,692,632,"1,447,963",28.9,29,37,13,J.Matlack (6.2),B.Hunter (86-75) and P.Corrales (1-0)
1977,Texas Rangers,AL West,162,94,68,0,0.58,0.57,2nd of 7,8,,767,657,"1,250,722",28.5,30,42,18,B.Blyleven (5.8),"F.Lucchesi (31-31), E.Stanky (1-0), C.Ryan (2-4) and B.Hunter (60-33)"
1976,Texas Rangers,AL West,162,76,86,0,0.469,0.474,4th of 6,14,,616,652,"1,164,982",26.4,29,36,16,G.Perry (5.8),F.Lucchesi (76-86)
1975,Texas Rangers,AL West,162,79,83,0,0.488,0.488,3rd of 6,19,,714,733,"1,127,924",26.4,29.9,39,17,T.Harrah (7.1),B.Martin (44-51) and F.Lucchesi (35-32)
1974,Texas Rangers,AL West,161,84,76,1,0.525,0.495,2nd of 6,5,,690,698,"1,193,902",27,28.1,38,15,F.Jenkins (7.7),B.Martin (84-76)
1973,Texas Rangers,AL West,162,57,105,0,0.352,0.362,6th of 6,37,,619,844,"686,085",26.4,26.1,42,20,J.Bibby (4.0),"W.Herzog (47-91), D.Wilber (1-0) and B.Martin (9-14)"
1972,Texas Rangers,AL West,154,54,100,0,0.351,0.362,6th of 6,38.5,,461,628,"662,974",26.1,25.6,38,16,M.Paul (3.6),T.Williams (54-100)
,,,,,,,,,,,,,,,,,,,,
